frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
94,3.76,0.98,1,-0.076,0.16899999999999998,0.005,-0.019,0.335,0.0,0.0,0.724,0.0,0.284,0.692,0.136,0.29,0.1,0.086,0.074,0.06999999999999999,0.0,0.13799999999999998,0.0,0.0,0.0
95,3.8,0.98,1,-0.07200000000000001,0.172,0.006999999999999999,-0.02,0.335,0.0,0.0,0.728,0.0,0.27599999999999997,0.654,0.13,0.272,0.098,0.094,0.08199999999999999,0.072,0.0,0.13,0.0,0.0,0.0
96,3.84,0.98,1,-0.066,0.177,0.005,-0.024,0.335,0.0,0.0,0.718,0.0,0.272,0.608,0.126,0.262,0.096,0.094,0.062,0.06,0.0,0.126,0.0,0.0,0.0
97,3.88,0.98,1,-0.057999999999999996,0.18,0.005,-0.023,0.335,0.0,0.0,0.708,0.0,0.27599999999999997,0.58,0.11599999999999999,0.252,0.096,0.098,0.048,0.064,0.0,0.118,0.0,0.0,0.0
98,3.92,0.98,1,-0.055,0.182,0.006,-0.024,0.335,0.0,0.0,0.7,0.0,0.27799999999999997,0.606,0.11599999999999999,0.248,0.1,0.08,0.028000000000000004,0.05,0.0,0.11399999999999999,0.0,0.0,0.0
99,3.96,0.98,1,-0.052000000000000005,0.187,0.006,-0.025,0.336,0.034,0.0,0.686,0.0,0.272,0.646,0.128,0.256,0.118,0.064,0.041999999999999996,0.08399999999999999,0.0,0.076,0.0,0.028000000000000004,0.194
100,4.0,0.98,1,-0.07400000000000001,0.297,-0.006,-0.052000000000000005,0.332,0.048,0.0,0.6639999999999999,0.0,0.246,0.648,0.15,0.256,0.128,0.026000000000000002,0.074,0.16,0.0,0.038,0.0,0.054000000000000006,0.40800000000000003
101,4.04,0.98,1,-0.061,0.306,-0.008,-0.06,0.325,0.048,0.0,0.646,0.0,0.21600000000000003,0.622,0.158,0.274,0.126,0.006,0.098,0.27,0.0,0.0,0.0,0.08399999999999999,0.606
102,4.08,0.98,1,-0.08900000000000001,0.315,0.005,-0.053,0.314,0.014000000000000002,0.0,0.646,0.0,0.192,0.584,0.16399999999999998,0.266,0.10800000000000001,0.0,0.124,0.358,0.0,0.0,0.0,0.064,0.584
103,4.12,0.98,1,-0.09300000000000001,0.332,0.022000000000000002,-0.040999999999999995,0.301,0.0,0.0,0.6679999999999999,0.0,0.19,0.606,0.16999999999999998,0.26,0.09,0.0,0.128,0.396,0.0,0.0,0.0,0.04,0.5
104,4.16,0.98,1,-0.071,0.302,0.046,-0.018000000000000002,0.287,0.0,0.0,0.6980000000000001,0.0,0.196,0.638,0.186,0.246,0.08199999999999999,0.0,0.148,0.42400000000000004,0.0,0.0,0.0,0.01,0.32999999999999996
105,4.2,0.98,1,-0.047,0.23,0.031,-0.005,0.276,0.0,0.0,0.716,0.0,0.202,0.6679999999999999,0.20800000000000002,0.246,0.078,0.0,0.142,0.43,0.0,0.0,0.0,0.0,0.18
106,4.24,0.98,1,-0.052000000000000005,0.209,0.017,-0.006,0.273,0.0,0.0,0.734,0.0,0.202,0.674,0.22200000000000003,0.258,0.076,0.0,0.132,0.42800000000000005,0.0,0.0,0.0,0.0,0.11599999999999999
