frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
65,2.6,0.98,1,0.314,0.19,0.05,-0.29100000000000004,-0.061,0.096,0.02,0.0,0.0,0.022,0.028000000000000004,0.057999999999999996,0.018,0.126,0.15,0.038,0.01,0.0,0.0,0.21200000000000002,0.124,0.018
66,2.64,0.98,1,0.309,0.16899999999999998,0.002,-0.278,-0.069,0.076,0.012,0.0,0.0,0.008,0.018,0.028000000000000004,0.002,0.096,0.062,0.046,0.024,0.0,0.0,0.16,0.184,0.008
67,2.68,0.98,1,0.311,0.153,-0.02,-0.27,-0.07200000000000001,0.064,0.012,0.0,0.004,0.0,0.012,0.0,0.0,0.062,0.0,0.036,0.036,0.0,0.0,0.078,0.246,0.006
68,2.72,0.98,1,0.306,0.15,-0.027000000000000003,-0.262,-0.071,0.086,0.004,0.0,0.026000000000000002,0.0,0.002,0.0,0.0,0.054000000000000006,0.0,0.008,0.074,0.0,0.01,0.014000000000000002,0.268,0.0
69,2.76,0.98,1,0.311,0.153,-0.022000000000000002,-0.27399999999999997,-0.075,0.10400000000000001,0.01,0.0,0.044,0.0,0.002,0.0,0.0,0.05600000000000001,0.0,0.0,0.10800000000000001,0.0,0.034,0.0,0.27799999999999997,0.0
70,2.8,0.98,1,0.309,0.155,-0.016,-0.278,-0.077,0.11000000000000001,0.01,0.0,0.05,0.0,0.002,0.0,0.0,0.062,0.01,0.0,0.13999999999999999,0.0,0.06999999999999999,0.0,0.27999999999999997,0.0
71,2.84,0.98,1,0.31,0.165,-0.008,-0.28,-0.077,0.094,0.016,0.0,0.028000000000000004,0.0,0.0,0.0,0.0,0.054000000000000006,0.024,0.0,0.148,0.0,0.092,0.0,0.27799999999999997,0.0
72,2.88,0.98,1,0.303,0.163,-0.018000000000000002,-0.275,-0.078,0.078,0.018,0.0,0.012,0.0,0.0,0.0,0.0,0.048,0.024,0.0,0.156,0.0,0.10400000000000001,0.0,0.288,0.004
73,2.92,0.98,1,0.305,0.151,-0.036000000000000004,-0.263,-0.075,0.086,0.038,0.0,0.002,0.0,0.006,0.0,0.0,0.046,0.028000000000000004,0.0,0.158,0.0,0.096,0.0,0.3,0.014000000000000002
74,2.96,0.98,1,0.289,0.15,-0.040999999999999995,-0.25,-0.065,0.10400000000000001,0.064,0.0,0.002,0.0,0.028000000000000004,0.012,0.0,0.05,0.064,0.0,0.16799999999999998,0.0,0.10200000000000001,0.0,0.292,0.11200000000000002
75,3.0,0.98,1,0.303,0.19399999999999998,-0.04,-0.24600000000000002,-0.051,0.13,0.08199999999999999,0.0,0.0,0.006,0.041999999999999996,0.038,0.0,0.057999999999999996,0.132,0.0,0.198,0.0,0.096,0.0,0.23199999999999998,0.23199999999999998
76,3.04,0.98,1,0.299,0.209,-0.026000000000000002,-0.226,-0.027999999999999997,0.11599999999999999,0.08399999999999999,0.0,0.0,0.012,0.036,0.06,0.0,0.06999999999999999,0.19,0.0,0.2,0.0,0.098,0.0,0.16399999999999998,0.302
77,3.08,0.98,1,0.28300000000000003,0.18899999999999997,-0.001,-0.217,0.002,0.09,0.05,0.0,0.0,0.012,0.038,0.048,0.0,0.064,0.16399999999999998,0.0,0.198,0.0,0.066,0.0,0.122,0.246
78,3.12,0.98,1,0.26899999999999996,0.182,0.004,-0.214,0.018000000000000002,0.044,0.022,0.0,0.0,0.006,0.048,0.022,0.0,0.04,0.10200000000000001,0.0,0.11399999999999999,0.0,0.036,0.036,0.15,0.146
79,3.16,0.98,1,0.27,0.179,0.013999999999999999,-0.226,0.031,0.018,0.0,0.0,0.0,0.0,0.094,0.002,0.0,0.016,0.032,0.0,0.074,0.0,0.006,0.08199999999999999,0.162,0.08
80,3.2,0.98,1,0.278,0.188,0.043,-0.24600000000000002,0.036000000000000004,0.002,0.0,0.0,0.0,0.0,0.11399999999999999,0.0,0.0,0.014000000000000002,0.034,0.0,0.032,0.0,0.0,0.12,0.16399999999999998,0.041999999999999996
81,3.24,0.98,1,0.28300000000000003,0.21100000000000002,0.08,-0.249,0.046,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.024,0.06,0.004,0.062,0.0,0.0,0.10800000000000001,0.142,0.024
82,3.28,0.98,1,0.28300000000000003,0.225,0.102,-0.254,0.05,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.022,0.06999999999999999,0.004,0.08,0.0,0.006,0.086,0.142,0.012
